#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,533,257,1,191020
2,369,547,1,191020
3,208,266,1,191020
4,529,255,2,191020
5,368,540,2,191020
6,200,257,2,191020
7,522,258,3,191020
8,362,539,3,191020
9,196,253,3,191020
10,533,266,4,191020
11,369,554,4,191020
12,203,269,4,191020
13,528,264,5,191020
14,366,555,5,191020
15,198,267,5,191020
16,537,270,6,191020
17,373,555,6,191020
18,208,273,6,191020
19,533,269,7,191020
20,365,554,7,191020
21,196,270,7,191020
22,524,264,8,191020
23,362,552,8,191020
24,191,266,8,191020
